Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Additional assignments (in order) and notes,Image links
D-359,1969,FWD/Seagrave,1250_/_500,Engine Co. 120 (1/23/1970 - 6/22/1980),,,,,,,,Engine 120 (Bill Friedrich)
D-360,1969,FWD/Seagrave,1250_/_500,Engine Co. 1 (1/23/1970 - 4/12/1973),Engine Co. 55 (7/30/1973 - 10/24/1980),Spare engine,,,,,,Engine 1 (Greg Reynolds) Engine 1 (Greg Reynolds) Spare engine (Bill Friedrich)
D-361,1969,FWD/Seagrave,1250_/_500,Engine Co. 42 (12/29/1969 - 1/29/1973),Engine Co. 54 (2/5/1973 - 10/28/1980),,,,,,,Engine 42 (Bill Friedrich) Engine 54 (Bill Friedrich)
D-362,1969,FWD/Seagrave,1250_/_500,Engine Co. 65 (12/12/1969 - 12/15/1980),,,,,,,,Engine 65 (Bill Friedrich) Engine 65 (Bill Friedrich)
D-363,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 95 (7/15/1970 - 8/18/1981),Engine Co. 50 (11/29/1982 - 1/18/1983),,,,,,Carried 100’ of 3” supply line on top of driver’s side rear compartments while at Engine 95,Engine 95 (Bill Friedrich) Engine 95 (firemann57)
D-364,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 19 (7/12/1970 - 5/14/1981),,,,,,,,Engine 19 (Steve Redick) Engine 19 (Bill Friedrich) Engine 19 (Bill Friedrich)
D-365,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 51 (8/13/1970 - 6/14/1980),,,,,,,Engine 51 OOS 6/14/1980,
D-366,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 63 (7/24/1970 - 1/1/1979),Engine Co. 19 (6/18/1981 - 11/21/1985),,,,,,Hit “L” pillar & cab damaged; rebuilt sometime prior to 1977 by 3D metals - driver’s side had three rear compartments; Rehabbed in 1981,Engine 63 (Bill Friedrich) Engine 63 (columind99) Engine 19 (D. Fornell) Engine 19 (Bill Friedrich)
D-367,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 38 (8/6/1970 - 2/8/1981),,,,,,,,Engine 38 (Midwest Fire Depts) Engine 38 (Bill Friedrich)
D-368,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 100 (7/15/1970 - 9/17/1978),Engine Co. 38 (3/9/1981 - 11/4/1985),,,,,,,Engine 100 (firemann57)
D-369,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 77 (8/14/1970 - 1/5/1981),,,,,,,"Photographed in August 1985, unsure if spare",Engine 77 (Bill Friedrich) Engine 77 (Bill Friedrich) Engine 77 (Bill Friedrich)
D-370,1969,Ford C8000/Ward LaFrance,1000_/_500,Engine Co. 61 (8/7/1970 - 9/19/1978),Engine Co. 77 (1/19/1981 - 11/5/1985),,,,,,,Engine 61 (D. Fornell)
D-371,1970,Oshkosh/Pierce,1250_/_500,Engine Co. 98 (6/25/1970 - 10/30/1972),Engine Co. 91 (11/3/1972 - 9/1/1981),Engine Co. 18 (1/20/1985 - 3/1/1985),,,,,First Pierce custom pumper built on an Oshkosh chassis,Engine 91 (Bill Friedrich) Engine 91 (Midwest Fire Depts)
D-372,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 126 (1/22/1971 - 5/13/1981),Engine Co. 122 (post-rebuild) (4/18/1989 - 8/17/1994),,,,,,"All 1970 WLFs arrived at CFD shops 7/2/70; rebuilt by Able Fire Equipment in 1988 w/ Ranger 4-door cab, E-One body, 140-gal foam tank, and equipped with 5” LDH (4” standard at time); crushed in Blue Island in 1994",Engine 126 (Bill Friedrich) Engine 122 (Gordon J. Nord)
D-373,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 73 (12/17/1970 - 11/19/1980),Engine Co. 103 (as of 4/2/81),,,,,,Scrapped; no rebuild; crushed at Cicero Iron in 1984,Engine 73 (Bill Friedrich)
D-374,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 103 (only lasted there one day - 12/8/70 - due to garage door size),Engine Co. 8 (12/9/1970 - 9/24/1982),Engine Co. 18 (3/1/1985 - 11/15/1985),Spare engine,Engine Co. 69 (post-rebuild) (9/18/1991 - 6/13/1995),,,"First rehab from 9/2/80-2/81; Aurora Borealis replaced by two beacons (close together) by time at Engine 18; rebuilt by Able Fire Equipment in 1990 w/ Ranger 4-door cab, E-One body, 140-gal foam tank and equipped with 5” LDH (4” standard at time); used in film Backdraft as Engines 17 and 51 from July 1990 - February 1991; sold to Ericksons Trucks-n-Parts 8/28/96; bought by private collector and being restored to look like Backdraft Engine 17 with parts from D-378; Code 3 Collectibles model replica (as movie Engine 17)",Engine 8 (Bill Friedrich) Engine 8 (Bill Friedrich) Engine 8 (firemann57) Engine 18 (Gordon J. Nord) Engine 18 (Bill Friedrich) Engine 69 (Smith Bros) Engine 69 (Bill Friedrich)
D-375,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 106 (2/12/1971 - 4/27/1981),Engine Co. 126 (5/13/1981 - 6/22/1981),Engine Co. 113 (post-rebuild) (8/12/1991 - 4/25/1995),Spare engine (OOS 10/21/1996?),,,,"Rebuilt by Able Fire Equipment in 1990 w/ Ranger 4-door cab, E-One body, 140-gal foam tank and equipped with 5” LDH (4” standard at time); used in film Backdraft as Engine 17; Code 3 Collectibles model replica (as Engine 113); sold to Ericksons Trucks-n-Parts 9/4/96 where it still sits in 2013",Engine 106 (Bill Friedrich) Engine 106 (Bill Friedrich) Engine 106 (Steve Redick Engine 113 (Smith Bros) Engine 17 (restored) (Josh Boyajian)
D-376,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 22 (6/9/1971 - 7/28/1982),Spare engine,Engine Co. 99,Engine Co. 46 (post-rebuild) (5/29/1990 - 7/14/1994),,,,"Damaged by wall collapse 4/5/1979; rebuilt in 1980; rebuilt by Able Fire Equipment in 1990 w/ Ranger 4-door cab, E-One body, 140-gal foam tank and equipped with 5” LDH (4” standard at time); sold to Ericksons Trucks-n-Parts 9/9/96; thought to be crushed but actually in service as Engine 76 with St. Bernice Vol. FD, IN",Engine 22 (Bill Friedrich) Engine 22 (Bill Friedrich) Engine 99 (Bill Friedrich) 
D-377,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 113 (12/9/1970 - 7/16/1981),Spare engine,Engine Co. 91 (6/1/1985 - 9/11/1985),"Spare engine (primarily used at T61, O’Hare, E34, E19, E109, E72)",Engine Co. 14 (post-rebuild) (5/29/1990 - 8/14/1993),Spare engine?,,"Aurora Borealis replaced with twin beacons at some point; retained Engine 113 markings while at Engine 91 (A 91 lettered in tape on grill); Rebuilt by Able Fire Equipment in 1990 w/ Ranger 4-door cab, E-One body, 140-gal foam tank and equipped with 5” LDH (4” standard at time); sold to Ericksons Trucks-n-Parts 8/29/96",Engine 113 (Bill Friedrich) Engine 113 (Gordon J. Nord) Engine 113 (Midwest Fire Depts)
D-378,1970,Ward LaFrance Ambassador,2000_/_500,Engine Co. 49 (1/22/1971 - 6/2/1981),Engine Co. 34 (post-rebuild) (5/18/1990 - 8/11/1998),,,,,,"Rebuilt by Able Fire Equipment in 1990 w/ Ranger 4-door cab, E-One body, 140-gal foam tank and equipped with 5” LDH (4” standard at time); sold to private party who restored it to look like Engine 17 from Backdraft, then to East Norwegian Twp. PA fire department; and back to a collector in Chicago in February 2013 to be used for parts to restore D-374",Engine 49 (Steve Redick) Engine 49 (Bill Friedrich) Engine 34 (Smith Bros) Engine 34 (columind99)
D-379,1972,Mack CF,1500_/_500,Engine Co. 35 (4/20/1972 - 8/24/1982),Engine Co. 18 (9/2/1982 - 1/20/1985),,,,,,,Engine 35 (Steve Redick) Engine 35 (Bill Friedrich) Engine 18 (Bill Friedrich) Engine 18 (firemann57)
D-380,1972,Ford C8000/Pierce,1000_/_500,Engine Co. 117 (6/9/1972 - 8/12/1981),,,,,,,,Engine 117 (Bill Friedrich)
D-381,1972,Oshkosh/Pierce,1250_/_500,Engine Co. 84 (10/27/1972 - 3/3/1981),,,,,,,,Engine 84 (Bill Friedrich) Engine 84 (Bill Friedrich)
D-382,1972,American LaFrance,2000_/_500,Engine Co. 98 (2/6/1973 - 5/28/1982),,Engine Co. 98 (10/14/1983 - 4/24/1992),,,,,"Lettered as “High Volume Pumper” during second stay at Engine 98; extended front bumper added, and Mars Aurora Borealis replaced by single Mars beacon by 1/26/1986",Engine 98 (Steve Redick) Engine 98 (John Tulipano) Engine 98 (Bill Friedrich)
D-383,1972,American LaFrance,2000_/_500,Engine Co. 42 (1/29/1973 - 5/13/1982),,,,,,,,Engine 42 (Bill Friedrich) Engine 42 (firemann57)
D-384,1972,American LaFrance,2000_/_500,Engine Co. 13 (2/20/1973 - 4/16/1982),,,,,,,,Engine 13 (Bill Friedrich)
D-385,1972,American LaFrance,2000_/_500,Engine Co. 103 (3/9/1973 - 4/2/1981),Spare engine (? - at least May 1985),,,,,,,Engine 103 (Bill Friedrich) Engine 103 (Steve Redick)
D-386,1972,American LaFrance,2000_/_500,Engine Co. 1 (4/12/1973 - 10/28/1982),Engine Co. 60 (12/8/1982 - 10/14/1983),Engine Co. 129 (12/2/1983 - 3/26/1985),,,,,Had a single beacon & 2 Mars 888s on the roof while at Engine 60,Engine 1 (Bill Friedrich) Engine 1 (Bill Friedrich) Engine 60 (Bill Friedrich)
D-387,1972,American LaFrance,2000_/_500,Engine Co. 5 (3/28/1973 - 10/4/1982),,,,,,,"Code 3 Collectibles model replica, in fictional black over green St. Patrick’s Day colors",Engine 5 (Bill Friedrich) Engine 5 (chicagofd.org)
D-388,1973,FWD/Seagrave,1250_/_500,Engine Co. 10 (3/26/1973 - 9/14/1981),Engine Co. 10 (1/10/1982 - 8/21/1992),Engine Co. 12,,,,,Repainted lime yellow with reflective safety stripes in 1988; Engine 12 only lasted for a few months in the mid-1990s on the old military side of O’Hare,Engine 10 (Midwest Fire Depts) Engine 10 (Bill Friedrich) Engine 10 (Bill Friedrich) Engine 10 (Midwest Fire Depts) Engine 10 (columind99) Engine 12 (Bill Friedrich)
D-389,1973,Ward LaFrance Ambassador,1500_/_500,Engine Co. 23 (6/27/1973 - 7/8/1982),Engine Co. 73 (8/15/1984 - 7/17/1986),,,,,,,Engine 23 (Steve Redick) Engine 23 (Bill Friedrich)
D-390,1973,Ward LaFrance Ambassador,1500_/_500,Engine Co. 29 (8/29/1973 - 6/14/1982),,,,,,,,Engine 29 (Steve Redick) Engine 29 (Bill Friedrich) Engine 29 (Bill Friedrich)
D-391,1973,Ward LaFrance Ambassador,1500_/_500,Engine Co. 57 (7/12/1973 - 10/29/1985),,,,,,,Had shop number in front windshield,Engine 57 (Gordon J. Nord)
D-392,1973,Ward LaFrance Ambassador,1500_/_500,Engine Co. 67 (8/31/1973 - 9/19/1983),,,,,,,Engine 67 OOS 9/19/1983,Engine 67 (Bill Friedrich)
D-393,1973,Ward LaFrance Ambassador,1750_/_500,Engine Co. 74 (7/11/1973 - 11/7/1985),Spare engine,Engine Co. 104 (3/27/1986 - 5/29/1987),,,,,Engine 104 alternately noted as 4/2/1986 start date; Aurora Borealis light replaced by single beacon by time at Engine 104,Engine 74 (Midwest Fire Depts) Engine 74 (Bill Friedrich) Engine 74 (Bill Friedrich) Engine 104 (Bill Friedrich)
D-394,1973,Seagrave,1500_/_500,Engine Co. 123 (1/16/1974 - 2/28/1985),Engine Co. 35 (3/11/1985 - 10/25/1985),Spare engine,R3,,,,"Listed as “interim” while at Engine 35, so possibly not re-marked",Engine 123 (Bill Friedrich) Engine 123 (Bill Friedrich) R3 (Smith Bros)
D-395,1973,Seagrave,1500_/_500,Engine Co. 11 (1973? - at least 6/1985),Engine Co. 99 (9/7/1989 - 12/23/1992),,,,,,"One of these 1973 Seagraves became Squad 2A, probably this one",Engine 11 (Bill Friedrich) Engine 11 (columind99) Engine 99 (Bill Friedrich)
D-396,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 78 (9/13/1974 - 1/16/1986),Engine Co. 104 (5/29/1987 - 9/21/1995),,,,,,First engine to have “Engine Co.” in same script as “Chicago Fire Dept.”; Rebuilt in 1987 by E-One,Engine 78 (Bill Friedrich) Engine 78 (John Tulipano) Engine 104 (Bill Friedrich)
D-397,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 82 (9/27/1974 - 1/21/1986),Engine Co. 82 (6/29/1987 - 10/14/1994),,,,,,Rebuilt in 1987 by E-One,Engine 82 (Bill Friedrich) Engine 82 (pre-rebuild) (Bill Friedrich) Engine 82 (post-rebuild) (Gordon J. Nord)
D-398,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 109 (10/29/1974 - 2/4/1986),Engine Co. 116 (2/15/1988 - 9/28/1992),,,,,,Rebuilt in 1987 by E-One,Engine 109 (Bill Friedrich) Engine 109 (Bill Friedrich) Engine 116 (Gordon J. Nord)
D-399,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 108 (10/21/1974 - 11/1/1985),Engine Co. 43 (3/3/1988 - 1/29/1997),,,,,,Rebuilt in 1987 by E-One; had additional green/red front lights (strobes?),Engine 108 (Bill Friedrich) Engine 43 (Midwest Fire Depts) Former Engine 43 (Smith Bros)
D-400,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 60 (11/1/1974 - 11/5/1982),,Engine Co. 109 (2/4/1986 - 11/6/1987),,,,,Rebuilt in 1987 by E-One,Engine 60 (Bill Friedrich) Engine 109 (Smith Bros) Engine 109 (Bill Friedrich)
D-401,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 25 (11/13/1974 - 6/14/1980),Engine Co. 104 (6/9/1980 - 3/16/1986),Engine Co. 71 (9/29/1987 - 4/11/1995),,,,,Engine 25 OOS 6/14/1980; Rebuilt in 1987 by E-One,Engine 25 (Midwest Fire Depts) Engine 104 (Bill Friedrich) Engine 71 (Bill Friedrich) Engine 71 (Smith Brothers)
D-402,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 125 (11/29/1974 - 2/19/1986),Engine Co. 125 (12/24/1987 - 7/18/1996),,,,,,Rebuilt in 1987 by E-One,Engine 125 (Bill Friedrich) Engine 125 (firemann57) Engine 125 (pre-rebuild) (Bill Friedrich) Engine 125 (post-rebuild) (mbernero) Engine 125 (post-rebuild) (Bill Friedrich)
D-403,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 71 (12/6/1974 - 2/6/1986),,Engine Co. 70 (1/14/1988 - 3/17/1997),,,,,Rebuilt in 1987 by E-One,Engine 71 (John Tulipano) Engine 71 (Bill Friedrich) Engine 70 (Smith Bros)
D-404,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 88 (12/18/1974 - 4/1/1985),Engine Co. 106 (4/4/1985 - 11/1/1985),Engine Co. 121 (9/29/1987 - 1/17/1997),,,,,Rebuilt in 1987 by E-One,Engine 88 (Midwest Fire Depts) Engine 88 (Bill Friedrich) Engine 121 (Bill Friedrich)
D-405,1974,Mack MB-600/Howe,1250_/_500,Engine Co. 129 (2/3/1975 - 10/17/1983),,Engine Co. 78 (4/7/1987 - 9/20/1994),,,,,Rebuilt in 1987 by E-One,Engine 129 (Midwest Fire Depts) Engine 129 (Bill Friedrich) Engine 129 (Bill Friedrich) Engine 78 (Bill Friedrich)
D-406,1975,Seagrave/FWD,1500_/_500,Engine Co. 86 (2/21/1975 - 8/4/1992),,,,,,,This may be a 1974 model,Engine 86 (Bill Friedrich)
D-407,1975,Seagrave/FWD,1500_/_500,Engine Co. 7 (3/3/1976 - 12/18/1992),Spare squad,,,,,,"Still in service, early ‘90s; rebuilt with extended front bumper and pump removed",Engine 7 (Midwest Fire Depts.) Engine 7 (firemann57) Spare squad (Gordon J. Nord)
D-408,1975,Ford C8000/Pierce,1250_/_500,Engine Co. 122 (8/6/1975 - 12/21/1988),Spare engine,,,,,,Found in junkyard early 2015,Engine 122 (Bill Friedrich) Engine 122 (firemann57) Engine 122 (columind99) Remains of D-408 (Kyle Svoboda)
D-409,1975,Ford C8000/Pierce,1250_/_500,Engine Co. 26 (8/7/1975 - 11/5/1985),Spare engine?,Engine Co. 93 (12/14/1992 - 12/29/1992),Engine Co. 116 (1/18/1993 - 6/17/1993),Engine Co. 80 (5/22/1995 - 5/7/1997),,,Silver wheels while at Engine 26; received new electronic siren & striping around 1990?,Engine 26 (Bill Friedrich) Engine 26 (Bill Friedrich)
D-410,1975,Ford C8000/Pierce,1250_/_500,Engine Co. 50 (8/13/1975 - 11/29/1982),Engine Co. 50 (1/18/1983 - 11/13/1985),Engine Co. 82 (1/21/1986 - 6/24/1987),,,,,,Engine 50 (Bill Friedrich) Engine 50 (Gordon J. Nord) Engine 50 (Bill Friedrich) Engine 82 (Bill Friedrich)
D-411,1975,Ford C8000/Pierce,1250_/_500,Engine Co. 24 (8/15/1975 - 6/14/1980),Engine Co. 120 (6/22/1980 - 10/29/1985),,,,,,Engine 24 OOS 6/14/1980,Engine 24 (Bill Friedrich) Engine 24 (Midwest Fire Depts) Engine 120 (Bill Friedrich)
D-412,1975,Seagrave,1500_/_500,Engine Co. 97 (10/23/1975 - 9/4/1992),,,,,,,This appears to have been the last engine to receive Aurora Borealis light as original equipment,Engine 97 (Midwest Fire Depts) Engine 97 (Bill Friedrich) Engine 97 (firemann57) Engine 97 (firemann57)
D-413,1975,American LaFrance,1250_/_500,Engine Co. 112 (12/23/1975 - 10/31/1985),Spare engine,Engine Co. 109,Spare engine,,,,"Found in junkyard early 2015, cab only",Engine 112 (Bill Friedrich) Engine 112 (Bill Friedrich) Engine 112 (John Tulipano) Engine 109 (Bill Friedrich) Cab of D-413 (Kyle Svoboda)
D-414,1975,American LaFrance,1250_/_500,Engine Co. 110 (1/22/1976 - 9/2/1988),Spare engine,,,,,,"Still in service at O’Hare, 5/1991",Engine 110 (Bill Friedrich) Engine 110 (Bill Friedrich) Spare engine (Tim Vermande)
D-415,1975,American LaFrance,1250_/_500,Engine Co. 14 (1/5/1976 - 5/29/1990),,,,,,,Can lights from Ford C/Pierce era used as rear warning lights,Engine 14 (Bill Friedrich) Engine 14 (Bill Friedrich) Engine 14 (Gordon J. Nord)
D-416,1975,American LaFrance,1250_/_500,Engine Co. 121 (1/21/1976 - 9/29/1987),Engine Co. 83 (10/23/1987 - 12/11/1987),,,,,,,Engine 121 (Bill Friedrich) Engine 121 (Bill Friedrich) Engine 121 (Bill Friedrich)
D-417,1975,American LaFrance,1250_/_500,Engine Co. 116 (1/28/1976 - 2/25/1988),Spare engine,,,,,,"Quickwater modifications added by early 1980s; Still in service, early ‘90s;",Engine 116 (Bill Friedrich) Engine 116 (Bill Friedrich)
D-418,1975,American LaFrance,1250_/_500,Engine Co. 81 (2/6/1976 - 7/21/1988),,,,,,,,Engine 81 (Bill Friedrich) Engine 81 (Bill Friedrich)
D-419,1975,American LaFrance,1250_/_500,Engine Co. 39 (2/11/1976 - 8/10/1988),,,,,,,,Engine 39 (Midwest Fire Depts) Engine 39 (Bill Friedrich) Engine 39 (Bill Friedrich)
D-420,1975,American LaFrance,1250_/_500,Engine Co. 76 (2/5/1976 - 8/16/1988),,,,,,,,Engine 76 (Bill Friedrich)
D-421,1975,American LaFrance,1250_/_500,Engine Co. 119 (2/12/1976 - 6/29/1993),,,,,,,,Engine 119 (Bill Friedrich) Engine 119 (Steve Redick) Engine 119 (Bill Friedrich)
D-422,1975,American LaFrance,1250_/_500,Engine Co. 69 (2/18/1976 - 9/18/1991),Spare engine,,,,,,Found in junkyard early 2015,Engine 69 (Bill Friedrich) Engine 69 (Midwest Fire Depts) Engine 69 (Bill Friedrich) D-422 in junkyard (Kyle Svoboda)
D-423,1975,Oshkosh/Bean/FMC,1250_/_500,Engine Co. 9 (at least 8/1981 - at least 10/1985) ,,,,,,,,Engine 9 (mbernero) Engine 9 (Midwest Fire Depts.)
D-424,1975,Oshkosh/Bean/FMC,1250_/_500_/_300 Halon,Engine Co. 9?,Engine Co. 12 (11/1/1981 - 2/16/1982),Snorkel 6 (2/16/1982 - 9/2/1982),Squad 7 (9/2/1982 - 1988?),Engine Co. 12R (1988? - ?),,,"Alternate start at Engine 12 listed as 8/1981; Designation changed from Engine 12 to Snorkel 6 to Squad 7 but remained numbered E12 for years after change; damaged in accident with 6 - 5 - 11 on 1/6/1980; rebuilt by Blitz Corporation; 55’ snorkel added in 1980; seen with 7A markings, as well",Squad 7A (columind99) Engine 12 (columind99) Engine 12R (Steve Redick)
D-425,1976,Seagrave,1500_/_500,Engine Co. 94 (6/23/1976 - 5/27/1993),,,,,,,,Engine 94 (Bill Friedrich) Engine 94 (columind99) Engine 94 (firemann57)
D-426,1976,Ford C8000/E-One,1250_/_500,Engine Co. 70 (12/16/1976 - 1/14/1988),Engine Co. 83 (9/2/1989 - 5/4/1995),,,,,,,Engine 70 (John Tulipano) Engine 83 (Bill Friedrich)
D-427,1976,Ford C8000/E-One,1250_/_500,Engine Co. 75 (12/21/1976 - 1/22/1993),,,,,,,E-One builder plate under Mars 888 bracket; quickwater modifications,Engine 75 (Steve Redick) Engine 75 (Steve Redick)
D-428,1976,Ford C8000/E-One,1250_/_500,Engine Co. 56 (1/13/1977 - 1/27/1993),Engine Co. 96 (7/5/1993 - at least 1996),Engine Co. 129 (4/3/2000 - 7/14/2000),,,,,E-One builder plate under Mars 888 bracket; white stripe added & quickwater modifications,Engine 56 (Midwest Fire Depts) Engine 96 (Bill Friedrich)
D-429,1976,Ford C8000/E-One,1250_/_500,Engine Co. 62 (1/21/1977 - 11/17/1986),Engine Co. 62 (3/10/1988 - 12/22/1994),Engine Co. 104 (9/21/1995 - 5/7/1997),,,,,,
D-430,1976,Ford C8000/E-One,1250_/_500,Engine Co. 15 (3/2/1977 - 4/27/1993),Spare engine,,,,,,,Spare engine (Smith Bros)
D-431,1976,Ford C8000/Pierce,1250_/_500,Engine Co. 85 (1/12/1977 - 9/19/1983),Engine Co. 80 (9/18/1991 - 11/3/1991),,,,,,Engine 85 OOS 9/19/1983,Engine 85 (Bill Friedrich) Engine 85 (Bill Friedrich)
D-432,1976,Ford C8000/Pierce,1250_/_500,Engine Co. 43 (1/27/1977 - 3/3/1988),Spare engine?,Engine Co. 46 (7/14/1994 - 1/9/1995),,,,,Can lights on roof while at Engine 43,Engine 43 (Bill Friedrich) Engine 43 (Gordon J. Nord)
D-433,1976,Ford C8000/Pierce,1250_/_500,Engine Co. 101 (2/8/1977 - 10/31/1985),Engine Co. 125 (2/19/1986 - 12/24/1987),Reserve engine R-2,,,,,Still in service 9/2001,Engine 101 (Midwest Fire Depts) Engine 101 (Bill Friedrich) Engine 125 (Bill Friedrich) Spare engine (Tim Vermande)
D-434,1976,Ford C8000/Pierce,1250_/_500,Engine Co. 83 (3/16/1977 - 10/23/1987),Engine Co. 83 (12/11/1987 - 9/2/1989),Engine Co. 93 (9/27/1992 - 12/14/1992),Engine Co. 14 (11/9/1993 - 2/2/1995),Engine Co. 78 (2/27/1995 - 5/19/1999),,,Rehabbed in 1993,Engine 83 (Bill Friedrich) Engine 83 (Bill Friedrich) Engine 83 (John Tulipano) Engine 14 (Bill Friedrich) Engine 78 (Bill Friedrich)
D-435,1976,Ford C8000/Pierce,1250_/_500,Engine Co. 45 (3/9/1977 - 10/28/1985),Engine Co. 71 (2/6/1986 - 8/22/1987),,,,,,,Engine 45 (Bill Friedrich) Engine 71 (Bill Friedrich)
D-436,1977,American LaFrance,1500_/_500,Engine Co. 79 (6/17/1977 - 3/16/1983),,,,,,,Code 3 Collectibles model replica,Engine 79 (Bill Friedrich) Engine 79 (Steve Redick) Engine 79 (Bill Friedrich) Engine 79 (Bill Friedrich)
D-437,1977,American LaFrance,1500_/_500,Engine Co. 92 (6/8/1977 - 5/6/1993),Reserve engine R-1,,,,,,Probably last ALF in department; Sold at auction 3/20/2004,Engine 92 (Bill Friedrich) Engine 92 (Gordon J. Nord) Engine 92 (Bill Friedrich)
D-438,1977,American LaFrance,1500_/_500,Engine Co. 124 (5/19/1977 - 7/19/1988),Spare engine,,,,,,Found in junkyard early 2015; Code 3 Collectibles model replica,Engine 124 (Midwest Fire Depts) Engine 124 (Bill Friedrich) Engine 124 (Bill Friedrich)  D-438 in junkyard (Kyle Svoboda)
D-439,1978,American LaFrance,2000_/_500,Engine Co. 46 (6/6/1978 - 5/29/1990),Spare engine,Engine Co. 80 (11/3/1991 - 6/28/1994),,,,,Minor rehab work done prior to assignment at Engine 80 (1991); found in junkyard early 2015; used as Engines 67 and 25 in Backdraft,Engine 46 (mbernero) Engine 46 (Bill Friedrich) Engine 46 (Bill Friedrich) Engine 80 (Bill Friedrich) Movie Engine 67 (chicagofd.org) Possibly former Engine 80 (Smith Bros) Former E80 rotting away (Kyle Svoboda)
D-440,1978,American LaFrance,2000_/_500,Engine Co. 64 (10/4/1978 - 5/14/1998),Squad 1 (12/1998 - fall 1999),,,,,,Rebuilt in ?; modified again for squad duty while Squad 1’s rig rebuilt after wreck; found in junkyard early 2015,Engine 64 (Bill Friedrich) Engine 64 (Bill Friedrich) Squad 1 (Gordon J. Nord) Squad 1 (Smith Bros) D-440 remains (Kyle Svoboda)
D-441,1978,American LaFrance,2000_/_500,Engine Co. 89 (5/19/1978 - 4/24/1995),,,,,,,Found in junkyard early 2015,Engine 89 (mbernero) Engine 89 (Bill Friedrich) E89 in junkyard (Kyle Svoboda)
D-442,1978,American LaFrance,2000_/_500,Engine Co. 20 (6/29/1978 - 1/1/1992),Engine Co. 98 (4/24/1992 - 12/18/1992),Engine Co. 28 (8/30/1996 - 12/28/1996),Spare engine (12/28/1996? - at least 2/28/2000),,,,Engine 20 OOS 1/1/1992,Engine 20 (Bill Friedrich) Engine 20 (Gordon J. Nord) Engine 20 (Gordon J. Nord) Engine 20 (Bill Friedrich) Engine 20 (firemann57)
D-443,1978,American LaFrance,2000_/_500,Engine Co. 34 (8/31/1978 - 5/18/1990),Engine Co. 28 (8/13/1991 - 8/30/1996),,,,,,"Used as Engines 24, 27, and 17 in Backdraft",Engine 34 (Midwest Fire Depts) Engine 34 (Bill Friedrich) Engine 34 (Bill Friedrich) Movie Engine 24 (chicagofd.org) Engine 28 (Bill Friedrich)
D-444,1978,Ford C8000/Pierce,1250_/_500,Engine Co. 96 (11/14/1978 - 7/5/1993),Engine Co. 14 (8/14/1993 - 11/9/1993),,,,,,,Engine 96 (Bill Friedrich) Engine 96 (Steve Redick)
D-445,1978,Ford C8000/Pierce,1250_/_500,Engine Co. 102 (10/9/1978 - 1/27/1993),,,,,,,,Engine 102 (Bill Friedrich)
D-446,1978,Ford C8000/Pierce,1250_/_500,Engine Co. 99 (10/26/1978 - 9/7/1989),Engine Co. 116 (9/28/1992 - 1/18/1993),,,,,,,Engine 99 (Bill Friedrich) Engine 99 (Midwest Fire Depts) Engine 99 (Bill Friedrich) Engine 99 wrecked cab (Bill Friedrich)
D-447,1978,Ford C8000/Pierce,1250_/_500,Engine Co. 107 (11/15/1978 - 7/26/1988),Spare engine,,,,,,Had roof can lights; possibly a spare into the early 2000s,Engine 107 (Gordon J. Nord) Engine 107 (Bill Friedrich) Engine 107 (firemann57)
D-448,1978,Ford C8000/Pierce,1250_/_500,Engine Co. 18 (10/20/1978 - 8/23/1982),,,,,,,,Engine 18 (Bill Friedrich)
D-449,1979,Ford C8000/Seagrave,1250_/_500,Engine Co. 4 (5/30/1979 - 7/21/1988),Squad 5A,,,,,,Additional bodywork done by Pierce after conversion to Squad 5A,Engine 4 (Bill Friedrich) Engine 4 (Bill Friedrich)  Squad 5A (columind99)
D-450,1979,Ford C8000/Seagrave,1250_/_500,Engine Co. 59 (6/1/1979 - 1/6/1993),,,,,,,,Engine 59 (John Tulipano) Engine 59 accident (chicagofd.org)
